name,role
Rohit Sharma,Batter
Arshdeep Singh,Bowler (Left-arm Fast)
Ruturaj Gaikwad,Batter
Sunil Narine,All-Rounder (Spin)
Josh Hazlewood,Bowler (Right-arm Fast)
Rishabh Pant,Wicketkeeper-Batter
Ravindra Jadeja,All-Rounder
Travis Head,Batter
KL Rahul,Wicketkeeper-Batter
Shubman Gill,Batter
Yashasvi Jaiswal,Batter
Virat Kohli,Batter
Tilak Varma,Batter
Rinku Singh,Batter
Sai Sudarshan,Batter
Suryakumar Yadav,Batter
Rajat Patidar,Batter
Dewald Brevis,Batter
Jasprit Bumrah,Bowler (Right-arm Fast)
Harshal Patel,Bowler (Right-arm Medium)
Mitchell Starc,Bowler (Left-arm Fast)
Trent Boult,Bowler (Left-arm Fast)
Pat Cummins,Bowler (Right-arm Fast)
Kagiso Rabada,Bowler (Right-arm Fast)
Harshit Rana,Bowler (Right-arm Fast)
Abhishek Sharma,All-Rounder
Hardik Pandya,All-Rounder
Shivam Dube,All-Rounder
Nitish Kumar Reddy,All-Rounder
Axar Patel,All-Rounder (Spin)
Sam Curran,All-Rounder
Romario Shepherd,All-Rounder
Mitchell Marsh,All-Rounder
Jos Buttler,Wicketkeeper-Batter
MS Dhoni,Wicketkeeper-Batter
Sanju Samson,Wicketkeeper-Batter
Nicholas Pooran,Wicketkeeper-Batter
Heinrich Klaasen,Wicketkeeper-Batter
Ishan Kishan,Wicketkeeper-Batter
Josh Inglis,WICKETKEEPER
Rashid Khan,Bowler (Leg-spin)
Varun Chakravarthy,Bowler (Mystery Spin)
Kuldeep Yadav,Bowler (Left-arm Wrist Spin)
Sai Kishore,Bowler (Left-arm Spin)
Noor Ahmad,Bowler (Left-arm Spin)
Ravi Bishnoi,BOWLER
Akeal Hosein,BOWLER
Maheesh Theekshana,BOWLER
David Miller,BATTER
Rovman Powell,Batter
Shreyas Iyer,Batter
Aiden Markram,Batter / All-Rounder
Abdul Samad,Batter
Shimron Hetmyer,Batter
Tim David,Batter
Devdutt Padikkal,Batter
Khaleel Ahmed,Bowler (Left-arm Fast)
Yash Dayal,Bowler (Left-arm Fast)
Jaydev Unadkat,Bowler (Left-arm Medium)
Mohammed Siraj,Bowler (Right-arm Fast)
Prasidh Krishna,Bowler (Right-arm Fast)
Bhuvneshwar Kumar,Bowler (Swing)
